id,release,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
11,1604680,"The Complete Songs of Robert Burns, Volume 7",\N,0,2015-05-18 21:05:42.057565+00,\N,"The Complete Songs of Robert Burns, Volume 7",\N,\N,\N,\N,\N,\N,f,f
12,1604680,"The Complete Songs of Robert Burns, Volume 8",\N,0,2015-05-18 21:05:42.057565+00,\N,"The Complete Songs of Robert Burns, Volume 8",\N,\N,\N,\N,\N,\N,f,f
13,1604680,"The Complete Songs of Robert Burns, Volume 9",\N,0,2015-05-18 21:05:42.057565+00,\N,"The Complete Songs of Robert Burns, Volume 9",\N,\N,\N,\N,\N,\N,f,f
14,1060426,"Suzumiya Haruhi no Tsumeawase: TV Anime ""Suzumiya Haruhi no Yuuutsu"" Gekichuu Kashuu Single",\N,0,2015-05-18 22:02:55.474539+00,\N,"Suzumiya Haruhi no Tsumeawase: TV Anime ""Suzumiya Haruhi no Yuuutsu"" Gekichuu Kashuu Single",\N,\N,\N,\N,\N,\N,f,f
15,1604765,Falk+Sons Celebrate Bach,\N,0,2015-05-18 22:04:13.266474+00,\N,Falk+Sons Celebrate Bach,\N,\N,\N,\N,\N,\N,f,f
16,230984,Backfire,\N,0,2015-05-18 23:04:37.917994+00,\N,Backfire,\N,\N,\N,\N,\N,\N,f,f
17,504476,괜찮아,ko,0,2015-05-18 23:46:26.263573+00,\N,괜찮아,\N,\N,\N,\N,\N,\N,f,f
18,504475,괜찮아,ko,0,2015-05-18 23:46:31.392364+00,\N,괜찮아,\N,\N,\N,\N,\N,\N,f,f
19,466439,بےوفا,ur,0,2015-05-18 23:47:10.320766+00,\N,بےوفا,\N,\N,\N,\N,\N,\N,f,f
20,1197993,"Sayonara, Goto-San.",\N,0,2015-05-18 23:49:39.390769+00,\N,"Sayonara, Goto-San.",\N,\N,\N,\N,\N,\N,f,f
21,355178,爱在六弦中,zh_Hans,0,2015-05-18 23:50:03.127869+00,\N,爱在六弦中,\N,\N,\N,\N,\N,\N,f,f
22,1237823,שאלה,\N,0,2015-05-18 23:53:37.291681+00,\N,שאלה,\N,\N,\N,\N,\N,\N,f,f
23,1607975,Can't Stop Me (feat. aCeb00mbaP),\N,0,2015-05-19 02:51:41.745801+00,\N,Can't Stop Me (feat. aCeb00mbaP),\N,\N,\N,\N,\N,\N,f,f
24,1607994,Smetana: Má vlast,\N,0,2015-05-19 03:48:45.34273+00,1,Smetana: Má vlast,\N,\N,\N,\N,\N,\N,f,f
25,1607994,Smetana: Má vlast 1991 Tokyo Live,\N,0,2015-05-19 03:49:29.921725+00,1,Smetana: Má vlast 1991 Tokyo Live,\N,\N,\N,\N,\N,\N,f,f
26,1575643,The Very Best of Ludwig van Beethoven (disc 2),\N,0,2015-05-19 08:00:11.071653+00,\N,The Very Best of Ludwig van Beethoven (disc 2),\N,\N,\N,\N,\N,\N,f,f
27,1040342,Nothing But Django (disc2),\N,0,2015-05-19 12:00:26.18536+00,\N,Nothing But Django (disc2),\N,\N,\N,\N,\N,\N,f,f
28,1040342,Nothing But Django (disc 3),\N,0,2015-05-19 12:00:26.18536+00,\N,Nothing But Django (disc 3),\N,\N,\N,\N,\N,\N,f,f
29,1127508,Fry's English Delight (disc 2),\N,0,2015-05-19 21:02:29.125746+00,\N,Fry's English Delight (disc 2),\N,\N,\N,\N,\N,\N,f,f
30,994368,30 Chalinazos (disc 3),\N,0,2015-05-19 21:04:07.254036+00,\N,30 Chalinazos (disc 3),\N,\N,\N,\N,\N,\N,f,f
1782,1113958,Vaya Morro (disc 2),\N,0,2015-11-04 07:00:44.04753+00,\N,Vaya Morro (disc 2),\N,\N,\N,\N,\N,\N,f,f
32,608441,La Vie en Piaf : L'Intégrale 1946-1963 (disc 6),\N,0,2015-05-19 21:04:23.176206+00,\N,La Vie en Piaf : L'Intégrale 1946-1963 (disc 6),\N,\N,\N,\N,\N,\N,f,f
33,439086,Ultimate Collection (disc 3),\N,0,2015-05-19 21:04:35.919061+00,\N,Ultimate Collection (disc 3),\N,\N,\N,\N,\N,\N,f,f
34,949648,L'elisir d'amore: Evelino Pido (disc 2),\N,0,2015-05-19 21:04:49.66317+00,\N,L'elisir d'amore: Evelino Pido (disc 2),\N,\N,\N,\N,\N,\N,f,f
35,1014454,Nur mit Dir (disc 3),\N,0,2015-05-19 21:04:59.1046+00,\N,Nur mit Dir (disc 3),\N,\N,\N,\N,\N,\N,f,f
36,60794,Récital à l'Olympia (disc 2),\N,0,2015-05-19 21:04:59.558297+00,\N,Récital à l'Olympia (disc 2),\N,\N,\N,\N,\N,\N,f,f
37,819826,The Golden Road (1965-1973) (disc 2: Birth of the Dead - The live Sides),\N,0,2015-05-19 21:05:06.684033+00,\N,The Golden Road (1965-1973) (disc 2: Birth of the Dead - The live Sides),\N,\N,\N,\N,\N,\N,f,f
38,582441,Living Death (disc 2: Worlds Neuroses / Live),\N,0,2015-05-19 21:05:16.609113+00,\N,Living Death (disc 2: Worlds Neuroses / Live),\N,\N,\N,\N,\N,\N,f,f
39,988776,Best Sellers Hits (disc 1),\N,0,2015-05-19 21:05:23.599892+00,\N,Best Sellers Hits (disc 1),\N,\N,\N,\N,\N,\N,f,f
40,1020296,Cruisin' (disc 1),\N,0,2015-05-19 22:00:11.546128+00,\N,Cruisin' (disc 1),\N,\N,\N,\N,\N,\N,f,f
41,1020296,Cruisin' (disc 3),\N,0,2015-05-19 22:00:11.546128+00,\N,Cruisin' (disc 3),\N,\N,\N,\N,\N,\N,f,f
42,1020296,Cruisin' (disc 6),\N,0,2015-05-19 22:00:11.546128+00,\N,Cruisin' (disc 6),\N,\N,\N,\N,\N,\N,f,f
43,1020296,Cruisin' (disc 8),\N,0,2015-05-19 22:00:11.546128+00,\N,Cruisin' (disc 8),\N,\N,\N,\N,\N,\N,f,f
44,956412,"Hellion Collection, Volume III (disc 2)",\N,0,2015-05-19 22:00:12.992709+00,\N,"Hellion Collection, Volume III (disc 2)",\N,\N,\N,\N,\N,\N,f,f
45,874760,Here I Am to Worship 2 (disc 2),\N,0,2015-05-19 22:00:13.705683+00,\N,Here I Am to Worship 2 (disc 2),\N,\N,\N,\N,\N,\N,f,f
46,361710,"Eternelle Musique Classique, Volume 6 (disc 2: Symphonies N° 35 & 38 en ré majeur)",\N,0,2015-05-19 22:00:17.485265+00,\N,"Eternelle Musique Classique, Volume 6 (disc 2: Symphonies N° 35 & 38 en ré majeur)",\N,\N,\N,\N,\N,\N,f,f
47,361710,"Eternelle Musique Classique, Volume 6 (disc 3: Concerto pour cor n° 1 - 2 - 3 et 4)",\N,0,2015-05-19 22:00:17.485265+00,\N,"Eternelle Musique Classique, Volume 6 (disc 3: Concerto pour cor n° 1 - 2 - 3 et 4)",\N,\N,\N,\N,\N,\N,f,f
