id,gid,name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,time,type,cancelled,setlist,comment,edits_pending,last_updated,ended
10,e559f343-2a2d-43c3-acb2-e4e2071b62db,Total Cello Ensemble at Hämeenlinnan Raatihuone,\N,4,2,\N,4,2,\N,1,f,,,0,2014-11-17 22:12:15.134093+00,t
1700,765990e3-eec8-4964-a856-832c1e539d8f,TOUR Many SEX Years vol.5// CORKSCREW A GO GO! @ 茨城県立県民文化センター,1998,7,18,1998,7,18,\N,1,f,,,0,2014-12-14 07:40:12.385473+00,t
11,8b06ad1e-69dd-48e5-bcda-7b30813c48fa,Stardust at Le Rockstore,1998,8,\N,1998,8,\N,\N,1,f,,,0,2014-11-17 22:12:31.730968+00,t
12,096382b5-f6c3-46ba-b677-a276d0f33bf5,Paradise Lost at Queen's Hall,1989,11,4,1989,11,4,\N,1,f,,,0,2014-11-17 22:12:49.28435+00,t
1748,0f5ab880-22fb-417f-a10c-5132b1e6ad55,TOUR Many SEX Years vol.5// CORKSCREW A GO GO! @ 渋谷公会堂,1998,10,22,1998,10,22,\N,1,f,,,0,2014-12-14 22:34:08.650611+00,t
2902,a93d1192-dfd0-453b-9a7b-0ad9ce824818,Prom 28,1900,9,26,1900,9,26,20:00:00,1,f,,,0,2015-02-21 14:06:09.11264+00,t
1992,c3b80a8c-0f1c-481f-aa7a-1b73a833d79b,Saturday Night Live,1979,12,15,1979,12,15,\N,\N,f,,,0,2014-12-19 22:35:51.650731+00,t
14,b93526e4-b64e-427c-89d1-34c27f279316,Herbert Grönemeyer at Rheinpark Stadion,2007,6,18,2007,6,18,\N,1,f,,,0,2014-11-17 22:13:26.299708+00,t
15,58c90b42-cb2f-4667-aa43-c9c940394b90,Les Reines Prochaines at Kunstmuseum Liechtenstein,2010,6,26,2010,6,26,\N,1,f,,,0,2014-11-17 22:13:42.704106+00,t
16,82c0cc4a-d6ff-40f0-a287-8dd7bb599a4f,Keaden at SAL,2013,9,27,2013,9,27,\N,1,f,,,0,2014-11-17 22:14:00.049348+00,t
17,073dce81-ad81-4a3e-bfa1-d4a582498a53,Merel Quartett at Reformierte Bergkirche,2014,7,19,2014,7,19,\N,1,f,,,0,2014-11-17 22:14:16.846705+00,t
1732,8a1f44dd-9b80-4c57-b3af-238a37fadc21,Cherie Lily's WERK OUT release party,2010,11,10,\N,\N,\N,19:00:00,3,f,,,0,2014-12-14 14:55:26.242041+00,f
18,a637d8db-9b49-4b30-ad07-07dad7eb914e,Merel Quartett at Felsenkapelle St. Michael,2014,7,20,2014,7,20,\N,1,f,,,0,2014-11-17 22:14:30.336797+00,t
1641,c44b2f7c-fda5-40e6-8f62-a5c780e3b279,「1996 FAKE STAR’S CIRCUIT」@ 岩手県民会館中ホール,1996,6,18,1996,6,18,\N,1,f,,,0,2014-12-12 04:59:00.353123+00,t
19,037d27da-6cb0-4e3d-b96b-724b851375fd,Merel Quartett at Felsenkapelle St. Michael,2014,7,19,2014,7,19,\N,1,f,,,0,2014-11-17 22:14:47.551393+00,t
1698,2cf6314b-b81e-49ed-b2d0-48d5fe2e1d34,Katatonia at La Locomotive,2001,11,13,2001,11,13,\N,1,f,,,0,2014-12-16 10:01:50.85843+00,t
23,8a5e4c9b-31e8-4ba4-a485-4365350a4e0c,Bonner Jazzchor at Kirche Alt St. Ulrich,2014,9,13,2014,9,13,\N,1,f,,,0,2014-11-17 22:16:23.319853+00,t
1733,df7251a5-92cf-45f5-b210-b54b9292b3bc,Cherie Lily’s Dripping Wet EP release party,2013,1,30,\N,\N,\N,20:30:00,3,f,,,0,2014-12-14 17:15:17.106681+00,f
24,3788eaad-39d5-427e-8309-f998d69405bb,Jazzchor der Universität Bonn at Aula der Universität Bonn,2014,7,19,2014,7,19,\N,1,f,,,0,2014-11-17 22:16:44.293848+00,t
3304,9da2139f-c5c0-42eb-9905-fafc8aa7d6fc,Unsigned Festival,2015,6,19,\N,\N,\N,\N,2,f,,,0,2015-03-30 17:32:38.694628+00,f
1964,9ac76a11-5a25-4a7b-bb63-bb0b8cd7bc7a,Ottawa Folk Festival 2008,2008,8,14,2008,8,17,\N,2,f,,,0,2014-12-18 17:23:41.325239+00,t
207,02ec6314-32eb-4b89-9bf0-0a96a5c7e25a,第十回 博麗神社例大祭,2013,5,26,2013,5,26,\N,4,f,,,0,2015-02-05 09:00:36.399386+00,t
1734,f72a7672-2b63-4bde-8bbb-b91b72e2b6c3,TOUR Many SEX Years vol.5// CORKSCREW A GO GO! @ 千葉県文化会館,1998,9,24,1998,9,24,\N,1,f,,,0,2014-12-14 21:28:13.617135+00,t
1617,30193382-ceca-4347-a0dc-9a8b5f514ea5,THE ALFEE 40th Anniversary 2014 GENESIS Ⅱ @ 日本特殊陶業市民会館フォレストホール,2014,10,5,2014,10,5,17:30:00,1,f,,,0,2014-12-19 00:01:02.110161+00,t
1616,5f687def-a1d2-42f5-ad26-5e3ea8ff5dee,THE ALFEE 40th Anniversary 2014 GENESIS Ⅱ @ サンシティ越谷市民ホール,2014,10,2,2014,10,2,18:30:00,1,f,,,0,2014-12-19 00:01:02.128739+00,t
2525,268fc46f-3138-4816-8369-4cdfab8cd45e,The Proms 1903,1903,8,22,1903,10,23,\N,2,f,,,0,2015-02-20 20:27:21.1485+00,t
1980,e9785df3-a9dc-4ce9-9efe-6a62d9188057,MAGFest 11,2013,1,3,2013,1,6,\N,2,f,,,0,2014-12-19 06:33:38.866575+00,t
